Temp (degC),Pressure (bar),Pressure (psia),vf (m3/kg),vg (m3/kg),hf (kJ/kg),hg (kJ/kg),sf (kJ/kgK),sg (kJ/kgK)
0.01,0.00611,0.0886,0.0010002,206.3,0,2501,0,9.1544
1,0.00657,0.0952,0.0010001,192.6,4.22,2502,0.0154,9.1281
2,0.00705,0.1023,0.0010001,179.9,8.42,2504,0.0306,9.1018
3,0.00758,0.1099,0.0010001,168.2,12.63,2506,0.0458,9.0757
4,0.00813,0.1179,0.0010001,157.3,16.84,2508,0.061,9.0498
5,0.00872,0.1265,0.0010001,147.2,21.05,2510,0.0762,9.0241
6,0.00935,0.1356,0.0010001,137.8,25.25,2512,0.0913,8.9978
7,0.01001,0.1452,0.0010001,129.1,29.45,2514,0.1063,8.9736
8,0.01072,0.1555,0.0010002,121,33.55,2516,0.1212,8.9485
9,0.01147,0.1664,0.0010003,113.4,37.85,2517,0.1361,8.9238
10,0.01228,0.1781,0.0010004,106.42,42.04,2519,0.151,8.8994
11,0.01312,0.1903,0.0010005,99.91,46.22,2521,0.1658,8.8752
12,0.01402,0.2033,0.0010006,93.84,50.41,2523,0.1805,8.8513
13,0.01497,0.2171,0.0010007,88.18,54.6,2525,0.1952,0.8276
14,0.01597,0.2316,0.0010008,82.9,58.78,2527,0.2098,8.804
15,0.01704,0.2471,0.001001,77.97,62.97,2528,0.2244,8.7806
16,0.01817,0.2635,0.0010011,73.39,67.16,2530,0.2389,8.7574
17,0.01936,0.2808,0.0010013,69.1,71.34,2532,0.2534,8.7344
18,0.02062,0.2991,0.0010015,65.09,75.53,2534,0.2678,8.7116
19,0.02196,0.3185,0.0010016,61.34,79.72,2536,0.2821,8.689
20,0.02377,0.339,0.0010018,57.84,83.9,2537,0.2964,8.6665
21,0.02486,0.3606,0.0010021,54.56,88.09,2539,0.3107,8.6442
22,0.02643,0.3833,0.0010023,51.5,92.27,2541,0.3249,8.622
23,0.02808,0.4073,0.0010025,48.62,96.46,2543,0.3391,8.6001
24,0.02982,0.4325,0.0010028,45.93,100.63,2545,0.3532,8.5785
25,0.03166,0.4592,0.001003,43.4,104.81,2547,0.3672,8.557
26,0.0336,0.4873,0.0010033,41.04,108.99,2548,0.3812,8.5358
27,0.03564,0.5169,0.0010036,38.82,113.17,2550,0.3951,8.5147
28,0.03779,0.5481,0.0010038,36.73,117.35,2552,0.409,8.4938
29,0.04004,0.5807,0.0010041,34.77,121.53,2554,0.4228,8.473
30,0.04241,0.6151,0.0010044,32.93,125.71,2556,0.4366,8.4523
31,0.04491,0.6514,0.0010047,31.2,129.89,2558,0.4503,8.4319
32,0.04753,0.6894,0.0010051,29.57,134.07,2559,0.464,8.4117
33,0.05029,0.7294,0.0010054,28.04,138.25,2561,0.4777,8.3916
34,0.05318,0.7713,0.0010057,26.6,142.42,2563,0.4913,8.3716
35,0.05622,0.8154,0.0010061,25.24,146.6,2565,0.5049,8.3519
36,0.0594,0.8615,0.0010064,23.97,150.78,2567,0.5185,8.3323
37,0.06274,0.9061,0.0010068,22.77,154.96,2569,0.532,8.3129
38,0.06624,0.9607,0.0010071,21.63,159.14,2570,0.5455,8.2938
39,0.06991,1.104,0.0010075,20.56,163.32,2572,0.5589,8.2748
40,0.07375,1.0697,0.0010079,19.55,167.5,2574,0.5723,8.2559
45,0.0958,1.3898,0.0010098,15.276,188.35,2583.3,0.6383,8.1661
50,0.1234,1.789,0.0010121,12.046,209.26,2592.2,0.7035,8.0766
55,0.1574,2.283,0.0010145,9.579,230.17,2601,0.7677,7.9925
60,0.1992,2.8892,0.0010171,7.679,251.09,2609.7,0.831,7.9108
65,0.2501,3.6274,0.0010199,6.202,272.03,2618.3,0.8933,7.8322
70,0.3116,4.5194,0.0010228,5.946,292.97,2626.9,0.9845,7.7565
75,0.3855,5.5912,0.0010259,4.134,313.93,2635.4,1.0154,7.6835
80,0.4736,6.869,0.0010292,3.409,334.92,2643.8,1.0753,7.6132
85,0.578,8.3832,0.0010326,2.829,355.91,2652,1.1343,7.5454
90,0.7011,10.169,0.0010361,2.3613,376.94,2660.1,1.1925,7.4799
95,0.8453,12.28,0.0010398,1.9822,397.99,2668.2,1.2501,7.4166
100,1.0133,14.697,0.0010437,1.673,419.06,2676,1.3069,7.3554
105,1.208,17.521,0.0010477,1.4193,440.17,2683.7,1.363,7.2962
110,1.4327,20.78,0.0010519,1.2099,461.32,2691.3,1.4185,7.2388
115,1.6906,24.52,0.0010562,1.0363,482.5,2698.7,1.4733,7.1832
120,1.9854,28.796,0.0010606,0.8915,503.72,2706,1.5276,7.1293
125,2.321,33.663,0.0010652,0.7702,524.99,2713,1.5813,7.0769
130,2.701,39.175,0.00107,0.6681,546.31,2719.9,1.6344,7.0261
135,3.131,45.411,0.001075,0.5818,567.68,2726.6,1.6869,6.9766
140,3.614,52.417,0.0010801,0.5085,589.1,2733.1,1.739,6.9284
145,4.155,60.263,0.0010853,0.446,610.59,2739.3,1.7906,6.8815
150,4.76,69.038,0.0010908,0.3924,632.15,2745.4,1.8416,6.8358
155,5.433,78.799,0.0010964,0.3464,653.77,2751.2,1.8923,6.7911
160,6.181,89.648,0.0011022,0.3068,675.47,2756.7,1.9425,6.7475
165,7.008,101.64,0.0011082,0.2724,697.25,2762,1.9923,6.7048
170,7.92,114.87,0.0011145,0.2426,719.12,2767.7,2.0416,6.663
175,8.924,129.43,0.0011209,0.21654,741.07,2771.8,2.0906,6.6221
180,10.027,145.43,0.0011275,0.1938,763.12,2776.3,2.1393,6.5819
185,11.233,162.92,0.0011344,0.17386,785.26,2780.4,2.1876,6.5424
190,12.551,182.04,0.00114415,0.15632,807.52,2784.3,2.2356,6.5036
195,13.987,202.86,0.0011489,0.14084,829.88,2787.8,2.2833,6.4654
200,15.549,225.52,0.0011565,0.12716,852.37,2790.7,2.3307,6.4278
210,19.077,276.89,0.0011726,0.10424,897.73,2796.2,2.4247,6.3539
220,23.198,336.45,0.00119,0.08604,943.67,2799.9,2.5178,6.2817
230,27.98,405.82,0.0012087,0.07145,990.27,2802,2.6102,6.2107
240,33.48,485.59,0.0012291,0.05965,1037.6,2802.2,2.702,6.1406
250,39.78,576.96,0.0012513,0.05004,1085.78,2800.4,2.7935,6.0708
260,46.94,680.81,0.0012756,0.04213,1134.94,2796.4,2.8848,6.001
270,55.06,798.58,0.0013025,0.03559,1185.23,2789.9,2.9763,5.9304
280,64.2,931.14,0.0013324,0.03013,1236.84,2780.4,3.0683,5.8586
290,74.46,1079.95,0.0013659,0.02554,1290.01,2767.6,3.1611,5.7848
300,85.93,1246.31,0.0014041,0.021649,1345.15,2751,3.2552,5.7081
310,98.7,1431.52,0.001448,0.018334,1402.39,2730,3.3512,5.6278
320,112.89,1637.33,0.0014995,0.01548,1462.6,2703.7,3.45,5.5423
330,128.63,1865.62,0.0015615,0.012989,1526.52,2670.2,3.5528,5.449
340,146.05,2118.28,0.0016387,0.01078,1595.47,2626.2,3.6616,5.3427
350,165.35,2398.2,0.0017411,0.008799,1671.94,2567.7,3.78,5.2177
360,186.75,2708.58,0.0018959,0.00694,1764.17,2485.4,3.921,5.06
370,210.54,3053.62,0.0022136,0.004973,1890.21,2342.8,4.1108,4.8144
374.15,221.2,3208.23,0.00317,0.00317,2107.37,2107.4,4.4429,4.4429
